avg_served_clients,avg_waiting_clients,n_pumps,n_registers,arrival_prob,avg_time_pumps,avg_time_registers
88.599,151.991,1,1,0.5,481.567,480.099
155.695,84.534,1,2,0.5,481.561,423.653
157.061,83.06,1,3,0.5,481.588,283.83099999999996
157.16,82.253,1,4,0.5,481.573,213.47924999999998
157.563,81.777,1,5,0.5,481.529,170.7106
88.728,150.999,2,1,0.5,362.707,481.458
176.233,63.282,2,2,0.5,361.3425,478.2335
234.247,11.141,2,3,0.5,362.1335,423.9336666666666
236.35,6.423,2,4,0.5,361.5225,321.4385
236.14,5.573,2,5,0.5,361.00699999999995,256.59520000000003
89.146,150.659,3,1,0.5,242.00066666666666,481.442
176.507,63.463,3,2,0.5,241.99699999999999,478.99350000000004
234.309,10.358,3,3,0.5,242.27966666666666,424.943
236.979,4.829,3,4,0.5,241.96766666666667,321.48275
237.568,3.337,3,5,0.5,241.90600000000003,258.3212
88.706,150.77,4,1,0.5,181.493,481.488
176.447,63.397,4,2,0.5,181.299,479.00800000000004
234.287,10.3,4,3,0.5,181.26324999999997,424.373
236.681,4.674,4,4,0.5,181.40725,321.91325
237.167,3.069,4,5,0.5,181.63675000000003,257.299
88.576,150.648,5,1,0.5,145.07059999999998,481.433
176.121,62.927,5,2,0.5,144.7392,478.7335
234.873,10.392,5,3,0.5,145.46800000000002,425.972
236.875,4.724,5,4,0.5,145.221,321.671
237.286,2.984,5,5,0.5,145.4998,257.46279999999996
